representative,transaction_date,ticker,asset_description,amount,type
Hon. Josh Gottheimer,2020-01-10,CHL,China Mobile Limited,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,CMP,Compass Minerals Intl Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-17,CSGP,"CoStar Group, Inc.","$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-14,CRY,"CryoLife, Inc.","$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-14,CYRX,"CryoPort, Inc.","$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,DNTUY,Dentsu Inc Tokyo Unsponsored ADR,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,DRQ,"Dril-Quip, Inc.","$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-22,EL,"Estee Lauder Companies, Inc.","$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-22,EXAS,Exact Sciences Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,EXAS,Exact Sciences Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,BEN,"Franklin Resources, Inc.","$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-17,FUPBY,Fuchs Petrolub SE Unsponsored American Depository Receipt Representing Preferenced Shares,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-30,KMTUY,Komatsu Ltd Ord American Depositary Shares,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-14,LULU,Lululemon Athletica inc.,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-09,MA,Mastercard Incorporated,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-10,MTDR,Matador Resources Company,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-14,MELI,"MercadoLibre, Inc.","$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-16,MSFT,Microsoft Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-09,MSFT,Microsoft Corporation,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2020-01-09,MSFT,Microsoft Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2020-01-10,PRIM,Primoris Services Corporation,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,SSL,Sasol Ltd. American Depositary Shares,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,SLB,Schlumberger N.V.,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2020-01-10,UBSI,"United Bankshares, Inc.","$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-03-31,DVN,Devon Energy Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-03-10,XOM,Exxon Mobil Corp,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-03-25,HD,Home Depot Inc,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-03-11,MSFT,Microsoft Corporation,"$1,001 - $15,000",purchase
Hon. Kevin Hern,2021-03-29,WMB,Williams Companies Inc,"$1,001 - $15,000",purchase
Hon. Nancy Pelosi,2021-03-19,MSFT,Microsoft Corporation - Exercised 150 call options (15K shares) expiring 3/19/2021 @ $130,"$1,000,001 - $5,000,000",purchase
Hon. Nancy Pelosi,2021-03-19,MSFT,Microsoft Corporation - Exercised 100 call options (10K shares) expiring 3/19/2021 @ $140,"$1,000,001 - $5,000,000",purchase
Hon. Nancy Pelosi,2021-03-10,RBLX,Roblox Corporation - purchase 10K shares,"$500,001 - $1,000,000",purchase
Hon. Josh Gottheimer,2021-12-28,AFRM,Affirm Holdings Inc Class A,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-06,APD,Air Products and Chemicals Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-08,BABA,Alibaba Group Holding Limited ADR Shares Each representing 8 ordinary shares,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2021-12-14,AAPl,Apple Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-15,AZTA,Azenta Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-03,AZTA,Azenta Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-02,BCPC,Balchem Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-09,BIIB,Biogen Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-09,COF,Capital One Financial Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-02,CCXI,ChemoCentryx Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-06,CCI,Crown Castle International Corp,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-21,XNGSY,ENN Energy Holdings Ltd Unsponsored ADR,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-09,HQY,HealthEquity Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-21,ITCI,Intra-Cellular Therapies Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-21,ITUB,Itau Unibanco Banco Holding SA ADR shares,"$1,001 - $15,000",sale_full
Hon. Josh Gottheimer,2021-12-01,MTCH,Match Group Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-02,FB,Meta Platforms Inc -  Class A,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-29,FB,Meta Platforms Inc -  Class A,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-06,MSFT,Microsoft Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-15,MTX,Minerals Technologies Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-09,NCLTY,Nitori Holdings Co Ltd ADR,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-09,OLLI,Ollies Bargain Outlet Holdings Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-09,CSPCY,Pharmaceutical GRP LTS,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-15,PHR,Phreesia Inc,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-28,PNGAY,Ping An Insurance,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-02,SKY,Skyline Champion Corporation,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-09,SNAP,Snap Inc Class A,"$1,001 - $15,000",exchange
Hon. Josh Gottheimer,2021-12-28,TCEHY,Tencent Holdings Limited Unsponsored ADR Representing B Shares,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-09,VZ,Verizon Communications Inc,"$1,001 - $15,000",sale_partial
Hon. Josh Gottheimer,2021-12-22,XP,XP Inc - Class A,"$1,001 - $15,000",purchase
Hon. Josh Gottheimer,2021-12-21,XP,XP Inc - Class A,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,MMM,3M Company,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-31,AIR,AAR Corp.,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,ABT,Abbott Laboratories,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-12,ATVI,"Activision Blizzard, Inc","$15,001 - $50,000",sale_partial
Hon. Gilbert Cisneros,2020-03-13,ATVI,"Activision Blizzard, Inc","$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,AMG,"Affiliated Managers Group, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,AFL,AFLAC Incorporated,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,AKAM,"Akamai Technologies, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,ALXN,"Alexion Pharmaceuticals, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-16,BABA,Alibaba Group Holding Limited American Depositary Shares each Representing Eight Ordinary Share,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-16,ALGN,"Align Technology, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,ALGN,"Align Technology, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,ALGT,Allegiant Travel Company,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,GOOGL,Alphabet Inc. - Class A,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,GOOG,Alphabet Inc. - Class C Capital Stock,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,AIG,"American International Group, Inc. New","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,ANTM,"Anthem, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-04-02,AON,Aon plc Class A Ordinary Shares,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,T,AT&T Inc.,"$15,001 - $50,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,TEAM,Atlassian Corporation Plc - Class A Ordinary Shares,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,ATRC,"AtriCure, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,BRK.B,Berkshire Hathaway Inc. New,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,BIIB,Biogen Inc.,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,BA,Boeing Company,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-12,BKNG,Booking Holdings Inc.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,BKNG,Booking Holdings Inc.,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,BXP,"Boston Properties, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,BSX,Boston Scientific Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,BHF,"Brighthouse Financial, Inc.","$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,BMY,Bristol-Myers Squibb Company,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-05,BR,"Broadridge Financial Solutions, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,BR,"Broadridge Financial Solutions, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-26,CACI,"CACI International, Inc. Class A","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-13,--,California Department of Water Resources,"$100,001 - $250,000",sale_partial
Hon. Gilbert Cisneros,2020-03-23,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-24,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-25,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,COF,Capital one Financial Corporation,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,CPRI,Capri Holdings Limited Ordinary Shares,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CAH,"Cardinal Health, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-04-02,KMX,CarMax Inc,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CAT,"Caterpillar, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CNP,"CenterPoint Energy, Inc","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,CTL,"CenturyLink, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,CF,"CF Industries Holdings, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CB,Chubb Limited,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CI,Cigna Corporation,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,C,"Citigroup, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CFG,"Citizens Financial Group, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CTSH,Cognizant Technology Solutions Corporation - Class A,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,CL,Colgate-Palmolive Company,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,CMCSA,Comcast Corporation - Class A,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,CMA,Comerica Incorporated,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,CTVA,"Corteva, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-27,CSGP,"COSTAR Group, Inc.","$15,001 - $50,000",purchase
Hon. Gilbert Cisneros,2020-03-30,CSGP,"COSTAR Group, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,COTY,Coty Inc. Class A,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,CCI,Crown Castle International Corp.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,DAL,"Delta air Lines, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,DLR,"Digital Realty Trust, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,DFS,Discover Financial Services,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,DISCA,"Discovery, Inc. - Series A","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,DLTR,"Dollar Tree, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,DD,"DUPONT de Nemours, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,DXC,DXC Technology Company,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,EMN,Eastman Chemical Company,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-16,EXAS,Exact Sciences Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,EXC,Exelon Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,EXLS,"ExlService Holdings, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,FIS,"Fidelity National Information Services, Inc.","$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,FITB,Fifth Third Bancorp,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,FISV,"Fiserv, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,FLT,"FleetCor Technologies, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,FLEX,Flex Ltd. - Ordinary Shares,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,F,Ford Motor Company,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,BEN,"Franklin Resources, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,FCX,"Freeport-MCMORAN, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,IT,"Gartner, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,GD,General Dynamics Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,GE,General Electric Company,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,GM,General Motors Company,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,GILD,"Gilead Sciences, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,GBCI,"Glacier Bancorp, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,GPN,Global Payments Inc.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-10,GLOB,Globant S.A. Common Shares,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-31,GLOB,Globant S.A. Common Shares,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-31,GMED,"Globus Medical, Inc. Class A","$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,GS,"Goldman Sachs Group, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,HRB,"H&R Block, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,HOG,"Harley-Davidson, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,HIG,"Hartford Financial Services Group, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-31,HQY,"HealthEquity, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,PEAK,"Healthpeak Properties, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,HTLD,"Heartland Express, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-10,HELE,Helen of Troy Limited,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,HPE,Hewlett Packard Enterprise Company,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-10,HMN,Horace Mann Educators Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,HST,"Host Hotels & Resorts, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,HUM,Humana Inc.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,HBAN,Huntington Bancshares Incorporated,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,ICFI,"ICF International, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,ICUI,"ICU Medical, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,IDA,"IdaCoRP, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,INFO,IHS Markit Ltd. Common Shares,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,IR,Ingersoll Rand Inc.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-10,IART,Integra LifeSciences Holdings Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,IBM,International Business Machines Corporation,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,IP,International Paper Company,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,IPG,"Interpublic Group of Companies, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-05,INTU,Intuit Inc.,"$15,001 - $50,000",sale_partial
Hon. Gilbert Cisneros,2020-03-06,INTU,Intuit Inc.,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,IRM,Iron Mountain Incorporated,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,J,Jacobs Engineering Group Inc.,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,JEF,Jefferies Financial Group Inc.,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-10,JBT,John bean Technologies Corporation,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,KEY,KeyCorp,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,KIM,Kimco Realty Corporation,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,KLAC,KLA Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,LB,"L Brands, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,LH,Laboratory Corporation of America Holdings,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,LVS,Las Vegas Sands Corp.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,LEN,Lennar Corporation Class A,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,LNC,Lincoln National Corporation,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,LIN,Linde plc Ordinary Share,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-31,LAD,"Lithia Motors, Inc.","$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,LYV,"Live Nation Entertainment, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,L,Loews Corporation,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-13,--,LONG BEACH Ca HBR REV,"$500,001 - $1,000,000",sale_full
Hon. Gilbert Cisneros,2020-03-13,--,LOS ANGELES Ca HARBOR DEPT,"$250,001 - $500,000",sale_full
Hon. Gilbert Cisneros,2020-03-13,--,LOS ANGELES CNTY Ca MET TRANSPORTATION AUTHORITY,"$500,001 - $1,000,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,LYB,Lyondellbasell Industries NV Ordinary Shares Class A,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,MDT,Medtronic plc. Ordinary Shares,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,MET,"MetLife, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,MGM,MGM Resorts International,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,MCHP,Microchip Technology Incorporated,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,MSFT,Microsoft Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,MS,Morgan Stanley,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,MOS,Mosaic Company,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-31,NHI,"National Health Investors, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,NATI,National Instruments Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,NWL,Newell Brands Inc.,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,NWSA,News Corporation - Class A,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,NWS,News Corporation - Class B,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-12,NKE,"Nike, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,NTRS,Northern Trust Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-17,NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,NUE,Nucor Corporation,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-30,NVDA,NVIDIA Corporation,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,ON,ON Semiconductor Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,ORCL,Oracle Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,PAYX,"Paychex, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-10,PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,PEP,"Pepsico, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,PRGO,Perrigo Company plc Ordinary Shares,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-26,PLNT,"Planet Fitness, Inc.","$15,001 - $50,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,PNC,"PNC Financial Services Group, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,PPL,PPL Corporation,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,PFG,Principal Financial Group Inc,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,PGR,Progressive Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,PRU,"Prudential Financial, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,PEG,Public Service Enterprise Group Incorporated,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,PVH,PVH Corp.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,PWR,"Quanta Services, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-10,QDEL,Quidel Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-10,RPD,"Rapid7, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,ROP,"Roper Technologies, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,RCL,Royal Caribbean Cruises Ltd.,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-13,--,SANTA CLARA Ca UNIFIED SCHOOL DISTRICT,"$250,001 - $500,000",sale_full
Hon. Gilbert Cisneros,2020-04-02,SEE,Sealed air Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,NOW,"ServiceNow, Inc.","$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-26,SHW,Sherwin-Williams Company,"$15,001 - $50,000",purchase
Hon. Gilbert Cisneros,2020-03-18,SPG,"Simon Property Group, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-24,SITE,"Siteone Landscape Supply, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,SLG,SL Green Realty Corp,"$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-04-02,LUV,Southwest Airlines Company,"$15,001 - $50,000",sale_partial
Hon. Gilbert Cisneros,2020-03-26,SSNC,"SS&C Technologies Holdings, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-04-02,SSNC,"SS&C Technologies Holdings, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,SSNC,"SS&C Technologies Holdings, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-31,STAG,"Stag Industrial, Inc.","$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,SWK,"Stanley Black & Decker, Inc.","$1,001 - $15,000",sale_full
Hon. Gilbert Cisneros,2020-03-18,STT,State Street Corporation,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,STE,STERIS plc,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,SYF,Synchrony Financial,"$1,001 - $15,000",purchase
Hon. Gilbert Cisneros,2020-03-18,SYY,Sysco Corporation,"$1,001 - $15,000",sale_partial
Hon. Gilbert Cisneros,2020-03-18,TTWO,"Take-Two Interactive Software, Inc.","$1,001 - $15,000",purchase
