representative,transaction_date,ticker,asset_description,amount,type
Hon. Michael T. McCaul,2021-01-19,SWK,Stanley Black & Decker Inc,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2021-01-20,MS,Morgan Stanley,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2021-01-27,--,Conn St Hsg Fin Auth Hsg Mtg F,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-01-08,--,Indiana Bd Bk Rev,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-01-15,FB,Facebook Inc,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-01-14,FMS,Fresenius Med Care Ag,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-01-14,ACGL,Arch Cap Group Ltd,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-01-13,ACGL,Arch Cap Group Ltd,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-01-05,--,Triborough Brdg & Tunl Auth N,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-05,--,Triborough Brdg & Tunl Auth N,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-04,--,Purdue Univ Ind Univ Revs,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-04,--,Oregon St Hsg & Cmnty Svcs Dep,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-15,--,Massachusetts St Hsg Fin Agy H,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2021-01-14,BKNG,Booking Hldgs Inc,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-01-12,CB,Chubb Ltd,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-01-27,HON,Honeywell Intl Inc,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-01-25,PCAR,Paccar Inc,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-01-06,PAG,"Penske Automotive Group, Inc.","$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2021-01-04,--,Virginia College Bldg Auth Va,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2021-01-12,ACN,Accenture Plc,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2021-01-06,--,Indiana Bd Bk Rev,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2021-01-08,--,Indiana Bd Bk Rev,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2021-01-12,--,Mesa Ariz,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2021-01-11,--,West Fargo N D,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2021-01-05,--,Fulton Cnty Ga Wtr & Sew Rev,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2021-01-15,--,Noblesville Ind Multi Sch Bldg,"$250,001 - $500,000",sale_full
Hon. Michael T. McCaul,2021-01-20,C,Citigroup Inc,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-01-20,NFG,National Fuel Gas Company,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-01-19,NFG,National Fuel Gas Company,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-01-21,NFG,National Fuel Gas Company,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-01-29,LUMN,Centurylink Inc,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2021-01-04,BKR,"Baker Hughes, a GE company","$15,001 - $50,000",sale_full
