ticker,date,price
TSLA,2019-11-11,69.01799774169922
AAPL,2019-12-23,69.76927947998047
MSFT,2019-12-24,153.75892639160156
NVDA,2019-12-24,59.48203659057617
AAPL,2020-01-02,73.78591918945312
MSFT,2020-01-09,158.36058044433594
AMZN,2020-01-10,94.15799713134766
NVDA,2020-01-10,60.90291976928711
AAPL,2020-01-14,76.81497955322266
AMZN,2020-01-16,93.89700317382812
FB,2020-01-16,221.77000427246094
MSFT,2020-01-16,162.34669494628906
MSFT,2020-01-24,161.24267578125
AAPL,2020-01-28,78.04576110839844
AAPL,2020-01-29,79.679443359375
AAPL,2020-02-03,75.82740020751953
MSFT,2020-02-13,179.48313903808594
MSFT,2020-02-14,181.08538818359375
AAPL,2020-02-18,78.55357360839844
AMZN,2020-02-19,108.51100158691406
MSFT,2020-02-21,174.95750427246094
RUN,2020-02-25,20.799999237060547
AAPL,2020-02-26,72.0649185180664
AMZN,2020-02-26,98.97949981689453
MSFT,2020-02-26,166.70877075195312
RUN,2020-02-26,20.90999984741211
RUN,2020-02-27,20.270000457763672
MSFT,2020-02-28,158.71473693847656
AAPL,2020-03-05,72.13139343261719
MSFT,2020-03-06,158.28370666503906
MSFT,2020-03-12,136.23153686523438
AMZN,2020-03-16,84.4574966430664
AMZN,2020-03-17,90.39199829101562
MSFT,2020-03-17,143.58876037597656
RUN,2020-03-17,9.920000076293945
MSFT,2020-03-18,137.5442657470703
RUN,2020-03-18,8.899999618530273
RUN,2020-03-19,9.109999656677246
AAPL,2020-03-20,56.45022964477539
MSFT,2020-03-20,134.5563201904297
AAPL,2020-03-23,55.250999450683594
MSFT,2020-03-24,145.32278442382812
AMZN,2020-03-26,97.77449798583984
MSFT,2020-03-26,152.93472290039062
NVDA,2020-03-30,66.24459075927734
AAPL,2020-04-02,60.313880920410156
AMZN,2020-04-02,95.94149780273438
FB,2020-04-02,158.19000244140625
AMZN,2020-04-09,102.13800048828125
MSFT,2020-04-09,161.7810821533203
MSFT,2020-04-13,162.14353942871094
