owner,ticker,type,amount,representative,trans_price,response
joint,MSFT,sale_full,"$5,000,001 - $25,000,000",Hon. Josh Gottheimer,333.9862060546875,0
joint,MSFT,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,179.48313903808594,1
joint,MSFT,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,179.48313903808594,1
joint,MSFT,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,179.48313903808594,1
joint,MSFT,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,179.48313903808594,1
joint,MSFT,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,179.48313903808594,1
joint,MSFT,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,179.48313903808594,1
undisclosed,MSFT,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,166.70877075195312,1
joint,MSFT,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,162.34669494628906,1
joint,MSFT,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,158.36058044433594,1
joint,MSFT,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,158.36058044433594,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,158.36058044433594,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,234.66751098632812,1
self,MSFT,purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,227.9579162597656,1
joint,MSFT,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,324.7605285644531,0
undisclosed,MSFT,purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,137.5442657470703,1
joint,MSFT,purchase,"$250,001 - $500,000",Hon. Kevin Hern,152.93472290039062,1
undisclosed,MSFT,purchase,"$1,001 - $15,000",Hon. Kurt Schrader,239.7462615966797,1
undisclosed,MSFT,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,314.9935302734375,0
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,182.98953247070312,1
joint,MSFT,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,171.01927185058594,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,211.15284729003903,1
joint,MSFT,purchase,"$250,001 - $500,000",Hon. Kevin Hern,262.8735046386719,1
joint,MSFT,purchase,"$100,001 - $250,000",Hon. Kevin Hern,262.8735046386719,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,255.156494140625,1
joint,MSFT,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,211.6157989501953,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,161.24267578125,1
joint,MSFT,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,181.08538818359375,1
self,MSFT,purchase,"$50,001 - $100,000",Hon. Nancy Pelosi,259.6199951171875,1
self,MSFT,purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,259.6199951171875,1
joint,MSFT,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,143.58876037597656,1
undisclosed,MSFT,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,143.58876037597656,1
joint,MSFT,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,134.5563201904297,1
joint,MSFT,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,134.5563201904297,1
joint,MSFT,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,134.5563201904297,1
joint,MSFT,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,136.23153686523438,1
joint,MSFT,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,136.23153686523438,1
joint,MSFT,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,136.23153686523438,1
joint,MSFT,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,158.28370666503906,1
joint,MSFT,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,158.28370666503906,1
joint,MSFT,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,158.28370666503906,1
joint,MSFT,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,158.28370666503906,1
undisclosed,MSFT,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,145.32278442382812,1
