disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,date_x,trans_price,date_y,current_price
2020,03/16/2020,2020-02-13,joint,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-13,179.48313903808594,2022-06-09,270.4100036621094
2020,03/16/2020,2020-02-26,,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-26,166.70877075195312,2022-06-09,270.4100036621094
2020,02/10/2020,2020-01-16,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf,True,2020-01-16,162.34669494628906,2022-06-09,270.4100036621094
2020,02/10/2020,2020-01-09,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf,False,2020-01-09,158.36058044433594,2022-06-09,270.4100036621094
2020,02/10/2020,2020-01-09,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf,True,2020-01-09,158.36058044433594,2022-06-09,270.4100036621094
2020,02/22/2020,2020-01-09,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016099.pdf,False,2020-01-09,158.36058044433594,2022-06-09,270.4100036621094
2021,04/09/2021,2021-03-11,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018550.pdf,False,2021-03-11,234.66751098632812,2022-06-09,270.4100036621094
2021,04/09/2021,2021-03-19,self,MSFT,Microsoft Corporation - Exercised 150 call options (15K shares) expiring 3/19/2021 @ $130,purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018539.pdf,False,2021-03-19,227.9579162597656,2022-06-09,270.4100036621094
2021,04/09/2021,2021-03-19,self,MSFT,Microsoft Corporation - Exercised 100 call options (10K shares) expiring 3/19/2021 @ $140,purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018539.pdf,False,2021-03-19,227.9579162597656,2022-06-09,270.4100036621094
2022,01/10/2022,2021-12-06,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020154.pdf,False,2021-12-06,324.7605285644531,2022-06-09,270.4100036621094
2020,04/16/2020,2020-03-18,--,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,False,2020-03-18,137.5442657470703,2022-06-09,270.4100036621094
2020,04/16/2020,2020-03-26,joint,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016419.pdf,False,2020-03-26,152.93472290039062,2022-06-09,270.4100036621094
2021,03/09/2021,2021-02-10,,MSFT,Microsoft Corp,purchase,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217887.pdf,False,2021-02-10,239.7462615966797,2022-06-09,270.4100036621094
2022,02/07/2022,2022-01-05,,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218557.pdf,False,2022-01-05,314.9935302734375,2022-06-09,270.4100036621094
2020,07/20/2020,2020-06-11,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016983.pdf,False,2020-06-11,182.98953247070312,2022-06-09,270.4100036621094
2020,05/31/2020,2020-05-01,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016686.pdf,False,2020-05-01,171.01927185058594,2022-06-09,270.4100036621094
2020,12/01/2020,2020-11-24,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017748.pdf,False,2020-11-24,211.15284729003903,2022-06-09,270.4100036621094
2021,07/14/2021,2021-06-25,joint,MSFT,Microsoft Inc,purchase,"$250,001 - $500,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019089.pdf,False,2021-06-25,262.8735046386719,2022-06-09,270.4100036621094
2021,07/14/2021,2021-06-25,joint,MSFT,Microsoft Inc,purchase,"$100,001 - $250,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019089.pdf,False,2021-06-25,262.8735046386719,2022-06-09,270.4100036621094
2021,07/14/2021,2021-06-10,joint,MSFT,Microsoft Inc,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019089.pdf,False,2021-06-10,255.156494140625,2022-06-09,270.4100036621094
2020,11/05/2020,2020-10-22,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017648.pdf,False,2020-10-22,211.6157989501953,2022-06-09,270.4100036621094
2020,02/22/2020,2020-01-24,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016099.pdf,False,2020-01-24,161.24267578125,2022-06-09,270.4100036621094
2020,02/22/2020,2020-02-14,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016101.pdf,False,2020-02-14,181.08538818359375,2022-06-09,270.4100036621094
2022,06/03/2022,2022-05-24,self,MSFT,Microsoft Corporation - 10 Call options strike of $180 expires 6/16/23,purchase,"$50,001 - $100,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf,False,2022-05-24,259.6199951171875,2022-06-09,270.4100036621094
2022,06/03/2022,2022-05-24,self,MSFT,Microsoft Corporation - 40 Call options strike of $180 expires 6/16/23,purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf,False,2022-05-24,259.6199951171875,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-17,joint,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-17,143.58876037597656,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-17,,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-17,143.58876037597656,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-20,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-20,134.5563201904297,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-20,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-20,134.5563201904297,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-20,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-20,134.5563201904297,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-20,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-20,134.5563201904297,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-12,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-12,136.23153686523438,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-06,joint,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-06,158.28370666503906,2022-06-09,270.4100036621094
2020,04/11/2020,2020-03-24,,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-24,145.32278442382812,2022-06-09,270.4100036621094
2020,08/09/2020,2020-07-14,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017058.pdf,False,2020-07-14,204.6806640625,2022-06-09,270.4100036621094
2022,04/12/2022,2022-03-10,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020789.pdf,False,2022-03-10,284.9263610839844,2022-06-09,270.4100036621094
2022,01/11/2022,2021-12-09,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020202.pdf,False,2021-12-09,331.6402587890625,2022-06-09,270.4100036621094
2021,10/06/2021,2021-09-13,,MSFT,Microsoft Inc,purchase,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218386.pdf,False,2021-09-13,295.1484680175781,2022-06-09,270.4100036621094
2020,08/15/2020,2020-07-27,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017192.pdf,False,2020-07-27,200.25991821289065,2022-06-09,270.4100036621094
2020,07/22/2020,2020-06-19,,MSFT,Microsoft,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217406.pdf,False,2020-06-19,191.71310424804688,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $150 expiry 10/15/21,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation Microsoft Corporation - CALL Options. Strike $145 expiry 10/15/21,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $150 expiry 11/19/21,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $150 expiry 3/18/22,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $150 expiry 3/18/22,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $150 expiry 3/18/22,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $145 expiry 3/18/22,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $160 expiry 1/21/22,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $160 expiry 09/17/21,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/20/2021,2021-08-16,joint,MSFT,Microsoft Corporation - CALL Options. Strike $150 expiry 9/17/21,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019479.pdf,False,2021-08-16,292.21392822265625,2022-06-09,270.4100036621094
2021,09/15/2021,2021-07-21,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019334.pdf,False,2021-07-21,279.1208190917969,2022-06-09,270.4100036621094
2022,04/17/2022,2022-03-09,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf,False,2022-03-09,287.8296203613281,2022-06-09,270.4100036621094
2022,03/03/2022,2022-02-28,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020354.pdf,False,2022-02-28,298.095703125,2022-06-09,270.4100036621094
2020,07/09/2020,2020-06-22,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016893.pdf,True,2020-06-22,197.0376739501953,2022-06-09,270.4100036621094
2021,04/01/2021,2021-03-01,,MSFT,Microsoft Inc,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217927.pdf,False,2021-03-01,234.4794921875,2022-06-09,270.4100036621094
2021,04/01/2021,2021-02-05,,MSFT,Microsoft Corp,purchase,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217928.pdf,False,2021-02-05,239.13409423828125,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2020,12/09/2020,2020-11-17,joint,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-17,211.1923370361328,2022-06-09,270.4100036621094
2021,11/15/2021,2021-10-27,joint,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf,False,2021-10-27,321.16619873046875,2022-06-09,270.4100036621094
2021,11/15/2021,2021-10-19,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf,False,2021-10-19,306.3188171386719,2022-06-09,270.4100036621094
2021,10/07/2021,2021-09-09,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019594.pdf,False,2021-09-09,295.40692138671875,2022-06-09,270.4100036621094
2020,01/02/2020,2019-12-24,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf,False,2019-12-24,153.75892639160156,2022-06-09,270.4100036621094
2020,05/15/2020,2020-04-09,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016607.pdf,False,2020-04-09,161.7810821533203,2022-06-09,270.4100036621094
2020,10/15/2020,2020-09-10,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017527.pdf,False,2020-09-10,202.24082946777344,2022-06-09,270.4100036621094
2020,04/01/2020,2020-02-28,self,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016340.pdf,False,2020-02-28,158.71473693847656,2022-06-09,270.4100036621094
2020,04/01/2020,2020-02-21,self,MSFT,Microsoft Corporation,purchase,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016340.pdf,False,2020-02-21,174.95750427246094,2022-06-09,270.4100036621094
2020,05/13/2020,2020-04-13,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016556.pdf,False,2020-04-13,162.14353942871094,2022-06-09,270.4100036621094
2020,06/10/2020,2020-05-18,,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016732.pdf,False,2020-05-18,181.1489715576172,2022-06-09,270.4100036621094
2020,06/10/2020,2020-05-15,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016732.pdf,False,2020-05-15,179.43455505371094,2022-06-09,270.4100036621094
2022,02/18/2022,2022-01-26,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False,2022-01-26,937.4099731445312,2022-06-09,725.5999755859375
